obj,lowerBound,time,img,method,nn_id
-7.552047795960029,-3.618193746924481,313.112,12,cayley,5
-7.552047795960029,-3.618193746924481,313.112,12,cayley,5
-7.552047795960029,-3.618193746924481,313.112,12,cayley,5
-7.552047795960029,-3.618193746924481,313.112,12,cayley,5
-7.552047795960029,-3.618193746924481,313.113,12,cayley,5
-7.552047795960029,-3.618193746924481,313.113,12,cayley,5
-7.552047795960029,-3.618193746924481,313.113,12,cayley,5
-7.552047795960029,-3.618193746924481,313.113,12,cayley,5
-7.552047795960029,-3.618193746924481,313.114,12,cayley,5
-7.552047795960029,-3.618193746924481,313.114,12,cayley,5
-7.552047795960029,-3.618193746924481,313.114,12,cayley,5
-7.552047795960029,-3.618193746924481,313.114,12,cayley,5
-7.552047795960029,-3.618193746924481,313.115,12,cayley,5
-7.552047795960029,-3.618193746924481,313.115,12,cayley,5
-7.552047795960029,-3.618193746924481,313.115,12,cayley,5
-7.552047795960029,-3.618193746924481,313.115,12,cayley,5
-7.552047795960029,-3.618193746924481,313.116,12,cayley,5
-7.552047795960029,-3.618193746924481,313.116,12,cayley,5
-7.552047795960029,-3.618193746924481,313.116,12,cayley,5
-7.552047795960029,-3.618193746924481,313.116,12,cayley,5
-7.552047795960029,-3.618193746924481,313.117,12,cayley,5
-7.552047795960029,-3.618193746924481,313.117,12,cayley,5
-7.552047795960029,-3.618193746924481,313.117,12,cayley,5
-7.552047795960029,-3.618193746924481,313.117,12,cayley,5
-7.552047795960029,-3.618193746924481,313.118,12,cayley,5
-7.552047795960029,-3.618193746924481,313.118,12,cayley,5
-7.552047795960029,-3.618193746924481,313.119,12,cayley,5
-7.552047795960029,-3.618193746924481,313.119,12,cayley,5
-7.552047795960029,-3.618193746924481,313.12,12,cayley,5
-7.552047795960029,-3.618193746924481,313.12,12,cayley,5
-7.552047795960029,-3.618193746924481,313.12,12,cayley,5
-7.552047795960029,-3.618193746924481,313.121,12,cayley,5
-7.552047795960029,-3.618193746924481,313.121,12,cayley,5
-7.552047795960029,-3.618193746924481,313.121,12,cayley,5
-7.552047795960029,-3.618193746924481,313.121,12,cayley,5
-7.552047795960029,-3.618193746924481,313.122,12,cayley,5
-7.552047795960029,-3.618193746924481,313.122,12,cayley,5
-7.552047795960029,-3.618193746924481,313.122,12,cayley,5
-7.552047795960029,-3.618193746924481,313.122,12,cayley,5
-7.552047795960029,-3.618193746924481,313.123,12,cayley,5
-7.552047795960029,-3.618193746924481,313.123,12,cayley,5
-7.552047795960029,-3.618193746924481,313.123,12,cayley,5
-7.552047795960029,-3.618193746924481,313.123,12,cayley,5
-7.552047795960029,-3.618193746924481,313.124,12,cayley,5
-7.552047795960029,-3.618193746924481,313.124,12,cayley,5
-7.552047795960029,-3.618193746924481,313.124,12,cayley,5
-7.552047795960029,-3.618193746924481,313.124,12,cayley,5
-7.552047795960029,-3.618193746924481,313.125,12,cayley,5
-7.552047795960029,-3.618193746924481,313.125,12,cayley,5
-7.552047795960029,-3.618193746924481,313.125,12,cayley,5
-7.552047795960029,-3.618193746924481,313.126,12,cayley,5
-7.552047795960029,-3.618193746924481,313.126,12,cayley,5
-7.552047795960029,-3.618193746924481,313.126,12,cayley,5
-7.552047795960029,-3.618193746924481,313.127,12,cayley,5
-7.552047795960029,-3.618193746924481,313.137,12,cayley,5
-7.552047795960029,-3.618193746924481,313.137,12,cayley,5
-7.552047795960029,-3.618193746924481,313.137,12,cayley,5
-7.552047795960029,-3.618193746924481,313.138,12,cayley,5
-7.552047795960029,-3.618193746924481,313.138,12,cayley,5
-7.552047795960029,-3.618193746924481,313.138,12,cayley,5
-7.552047795960029,-3.618193746924481,313.138,12,cayley,5
-7.552047795960029,-3.618193746924481,313.139,12,cayley,5
